action,category,confidence,creator,entity_name,entity_source,entity_type,first_seen,last_seen,local_date,mention_count,raw_id,related_sources,source,source_path,source_subtype,source_type,timestamp,title,url
Contact,Uncategorized,high,,,,,,,,,,,contacts,Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,raw_extracted\Export - 16th April 2026-20260415T232400Z-3-001\Export - 16th April 2026\Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,raw_extracted\Export - 16th April 2026-20260415T232400Z-3-001\Export - 16th April 2026\Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,raw_extracted\Export - 16th April 2026-20260415T232400Z-3-001\Export - 16th April 2026\Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,raw_extracted\Export - 16th April 2026-20260415T232400Z-3-001\Export - 16th April 2026\Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,raw_extracted\Export - 16th April 2026-20260415T232400Z-3-001\Export - 16th April 2026\Contacts.csv,contact,contacts,,,
Contact,Uncategorized,high,,,,,,,,,,,contacts,raw_extracted\Export - 16th April 2026-20260415T232400Z-3-001\Export - 16th April 2026\Contacts.csv,contact,contacts,,,
